Player,Probability,National team
Alisson,0.001666046654273291,Brazil
Ederson,0.005412743961500086,Brazil
Weverton,0.0018152491258630026,Brazil
Alex Sandro,0.005548485851171344,Brazil
Alex Telles,0.0014652046560145293,Brazil
Dani Alves,0.005857336498631355,Brazil
Danilo,0.004469137213825484,Brazil
Bremer,0.003853996473748592,Brazil
Éder Militão,0.0030095273602832,Brazil
Marquinhos,0.0012271606255637982,Brazil
Thiago Silva,0.00428718750003111,Brazil
Bruno Guimarães,0.002281282459307232,Brazil
Casemiro,0.006237260681980051,Brazil
Everton Ribeiro,0.0060845669799676925,Brazil
Fabinho,0.004220440840187524,Brazil
Fred,0.0050179129638863494,Brazil
Lucas Paquetá,0.003410684463038776,Brazil
Antony,0.0049507075782500186,Brazil
Gabriel Jesus,0.005147202887472632,Brazil
Gabriel Martinelli,0.0016625326668609248,Brazil
Neymar Jr.,0.005264693927389699,Brazil
Pedro,0.0011565179464804501,Brazil
Raphinha,0.001620245708966346,Brazil
Richarlison,0.0016960460977194192,Brazil
Rodrygo,0.0040942141952172405,Brazil
Vinicius Jr.,0.0026841306482987683,Brazil
Tite,0.0027836836233203262,Brazil
Kasper Schmeichel,0.003629292756270653,Denmark
Oliver Christensen,0.0054932211761401515,Denmark
Andreas Christensen,0.003006175320797665,Denmark
Simon Kjaer,0.0034919327313304755,Denmark
Jens Larsen,0.004243535833753112,Denmark
Joachim Andersen,0.006085685939462142,Denmark
Victor Nelsson,0.003542205936616835,Denmark
Rasmus Kristensen,0.004846699660241222,Denmark
Joakim Maehle,0.0018423117046360185,Denmark
Daniel Wass,0.004559327249077256,Denmark
Thomas Delaney,0.004237269413584307,Denmark
Christian Eriksen,0.0029045238207242295,Denmark
Pierre-Emile Hojbjerg,0.0018190693111370271,Denmark
Mathias Jensen,0.0032074960718401243,Denmark
Mikkel Damsgaard,0.0037411795397197453,Denmark
Jesper Lindstrom,0.0014809063879204225,Denmark
Jonas Wind,0.0031550322795434807,Denmark
Andreas Cornelius,0.004269610222972596,Denmark
Andreas Olsen,0.0014893945710854263,Denmark
Martin Braithwaite,0.0008575356082618963,Denmark
Kasper Dolberg,0.0006848489521824356,Denmark
Kasper Hjulmand,0.003813177986190552,Denmark
Eiji Kawashima,0.004898346443906994,Japan
Shuichi Gonda,0.005989166727069918,Japan
Daniel Schmidt,0.005180505791426243,Japan
Yuto Nagatomo,0.00392850403608577,Japan
Maya Yoshida,0.0018661172798805621,Japan
Hiroki Sakai,0.004270220071697064,Japan
Takehiro Tomiyasu,0.005219283157906471,Japan
Miki Yamane,0.0034256259132881676,Japan
Shogo Taniguchi,0.002204155547153487,Japan
Ko Itakura,0.004860428616038424,Japan
Hiroki Ito,0.005642692703608302,Japan
Gaku Shibasaki,0.004169881223030567,Japan
Wataru Endo,0.004937719666118011,Japan
Takumi Minamino,0.0019653590710427137,Japan
Junya Ito,0.0059543533177987586,Japan
Ritsu Doan,0.002659481027435568,Japan
Daichi Kamada,0.0045784500714374865,Japan
Takefusa Kubo,0.0014023100374305757,Japan
Hidemasa Morita,0.0020722678247409006,Japan
Ao Tanaka,0.0007307834444290436,Japan
Kaoru Mitoma,0.002286697535860678,Japan
Yuki Soma,0.003545323068208502,Japan
Takuma Asano,0.0032607151057955468,Japan
Ayase Ueda,0.000872999605575199,Japan
Daizen Maeda,0.004249705237965751,Japan
Shuto Machino,0.004165660433937538,Japan
Hajime Moriyasu,0.0008986980307645451,Japan
Esteban Alvarado,0.0034574638079036763,Costa Rica
Keylor Navas,0.004845014221002711,Costa Rica
Patrick Sequeira,0.006160138475824181,Costa Rica
Francisco Calvo,0.0006334394482094602,Costa Rica
Daniel Chacon,0.0038885504801369503,Costa Rica
Oscar Duarte,0.0032374351243135376,Costa Rica
Keysher Fuller,0.004894980645427675,Costa Rica
Carlos Martinez,0.0006830062597149716,Costa Rica
Ronaldo Matarrita,0.0007174921021341266,Costa Rica
Bryan Oviedo,0.0019902404238012167,Costa Rica
Juan Pablo Vargas,0.003424868509630366,Costa Rica
Kendall Waston,0.006261834290877594,Costa Rica
Brandon Aguilera,0.0006173513459781308,Costa Rica
Jewison Bennette,0.005275866565341855,Costa Rica
Celso Borges,0.003830983295146041,Costa Rica
Anthony Hernandez,0.002367258976462689,Costa Rica
Douglas Lopez,0.004010763795920473,Costa Rica
Bryan Ruiz,0.0023007688905031824,Costa Rica
Youstin Salas,0.006303976709837476,Costa Rica
Yeltsin Tejeda,0.006028948331096426,Costa Rica
Gerson Torres,0.0016179309570121603,Costa Rica
Roan Wilson,0.002506888815377355,Costa Rica
Alvaro Zamora,0.0011463896650564494,Costa Rica
Joel Campbell,0.0010135163110891754,Costa Rica
Anthony Contreras,0.006094836925327689,Costa Rica
Johan Venegas,0.0039033241994621236,Costa Rica
Luis Fernando Suárez,0.002101438747561358,Costa Rica
Alphonse Areola,0.001266710251695115,France
Hugo Lloris,0.004571731427472997,France
Steve Mandanda,0.003906365979087834,France
Lucas Hernandez,0.003806737786100261,France
Theo Hernandez,0.0057353435827482546,France
Presnel Kimpembe,0.002215008820249934,France
Ibrahima Konate,0.0032307977003123533,France
Jules Kounde,0.003036278126197094,France
Benjamin Pavard,0.0001892922607769805,France
William Saliba,0.004549683794434208,France
Dayot Upamecano,0.001676053145752317,France
Raphael Varane,0.004323701883533762,France
Eduardo Camavinga,0.00073158643336625,France
Youssouf Fofana,0.0035271754924076516,France
Matteo Guendouzi,0.002435537006614395,France
Adrien Rabiot,0.004484721316784523,France
Aurelien Tchouameni,0.0009496179755587054,France
Jordan Veretout,0.0021299269066902913,France
Karim Benzema,5.479997524114651e-05,France
Ousmane Dembele,0.00035847130644119405,France
Kingsley Coman,0.0001861909867781488,France
Olivier Giroud,0.004548159961122682,France
Antoine Griezmann,0.0013757167254455432,France
Kylian Mbappe,0.0028121829834441983,France
Christopher Nkunku,0.0023444563287650187,France
Didier Deschamps,0.0007435475519621676,France
Maty Ryan,0.001823318852217067,Australia
Andrew Redmayne,0.0013669776663938857,Australia
Danny Vukovic,0.0019351374036969873,Australia
Milos Degenek,0.004982937562688379,Australia
Aziz Behich,0.004472891176129428,Australia
Joel King,0.0008977472564941088,Australia
Nathaniel Atkinson,0.0036793894006367837,Australia
Fran Karacic,0.0017128931641078456,Australia
Harry Souttar,0.0032383761648883715,Australia
